#Name,Association,Age (Myr),P (d), Rp (R_Earth),Rp_err (R_Earth),sma (AU),sma_err (AU),Iflux (Earth flux),Iflux_err (Earth flux),Mstar,Mstar_err,Rstar,Rstar_err,Teff,Teff_err
WASP-106 b,,,9.28971,11.19246,3.2919,0.084424,0.024208,291.581568,239.29672,0.93,0.8,1.31,0.38,6055.0,136.0
WASP-170 b,,,2.34478,12.026408,0.932705,0.0337,0.0018,689.354673,136.464585,0.93,0.15,0.94,0.06,5600.0,150.0
WASP-65 b,,,2.311424,12.201976,0.647407,0.0334,0.0017,810.208196,125.737023,0.93,0.14,1.01,0.05,5600.0,100.0
HAT-P-27 b,,,3.039577,11.19246,0.76811,0.04,0.0008,359.884569,49.028142,0.94,0.04,0.9,0.05,5300.0,90.0
HAT-P-44 b,,,4.301219,13.628466,1.163138,0.0507,0.0007,248.6508,46.408453,0.94,0.04,0.95,0.08,5295.0,100.0
HATS-5 b,,,4.763387,10.007376,0.274325,0.0542,0.0006,183.716729,11.656855,0.94,0.03,0.87,0.02,5304.0,50.0
HD 3167 b,,,0.959624,1.667896,0.076811,0.0186,0.0003,1840.684963,227.753917,0.94,0.04,0.87,0.01,5528.0,162.0
HD 3167 c,,,29.83832,2.798115,0.21946,0.1841,0.0028,18.788745,2.311068,0.94,0.04,0.87,0.01,5528.0,162.0
K2-157 b,,,0.365257,1.031462,0.142649,0.009797,6.9e-05,6441.67118,774.559678,0.94,0.03,0.88,0.05,5456.0,50.0
K2-176 b,,,5.329439,1.459409,0.120703,0.058497,0.000415,169.036862,13.550727,0.94,0.02,0.86,0.03,5428.0,50.0
K2-189 b,,,2.588309,1.492328,0.087784,0.0361,0.0004,485.467754,28.213963,0.94,0.03,0.87,0.01,5519.0,67.0
K2-189 c,,,6.679195,2.446979,0.120703,0.068,0.0007,136.822325,7.872189,0.94,0.03,0.87,0.01,5519.0,67.0
K2-195 b,,,15.852975,3.061467,0.120703,0.1208,0.0017,64.459677,5.011585,0.94,0.04,0.99,0.02,5713.0,87.0
K2-195 c,,,28.482786,2.52379,0.263352,0.178814,0.002536,29.418317,2.30662,0.94,0.04,0.99,0.02,5713.0,87.0
K2-207 b,,,12.48749,2.545736,0.362109,0.103196,0.001098,68.032818,13.474186,0.94,0.03,0.93,0.09,5522.0,50.0
K2-29 b,,,3.258832,13.05787,0.21946,0.04217,0.00024,308.812768,11.860914,0.94,0.02,0.86,0.01,5358.0,38.0
K2-70 b,,,13.97896,2.831034,0.460866,0.1112,0.004,62.952705,22.887503,0.94,0.1,0.93,0.14,5622.0,268.0
KELT-23 A b,,,2.255251,14.517279,0.274325,0.03302,0.00068,1000.58539,56.604728,0.94,0.06,1.0,0.01,5899.0,49.0
Kepler-1033 b,,,7.560528,2.457952,0.406001,0.073855,0.001048,132.35468,43.696001,0.94,0.04,0.92,0.15,5547.0,66.49
Kepler-1065 b,,,3.609309,3.654009,0.625461,0.045112,0.00112,386.0498,141.713211,0.94,0.07,0.93,0.16,5635.0,202.38
Kepler-1065 c,,,2.370307,1.569139,0.230433,0.034084,0.000846,676.294465,248.257764,0.94,0.07,0.93,0.16,5635.0,202.38
Kepler-1078 b,,,3.007252,1.86541,0.318217,0.039945,0.000708,474.04578,129.313776,0.94,0.05,0.92,0.12,5612.0,123.53
Kepler-1095 b,,,4.271031,1.185084,0.197514,0.05047,0.001253,306.796899,104.653918,0.94,0.07,0.92,0.14,5658.0,206.29
Kepler-1101 b,,,81.315106,2.41406,0.362109,0.359855,0.007656,5.722836,1.736462,0.94,0.06,0.91,0.13,5614.0,168.73
